country,temp
Åland,7.283333333333332
Afghanistan,15.497833333333334
Africa,24.588083333333334
Albania,13.746583333333335
Algeria,24.032249999999994
American Samoa,27.21983333333333
Andorra,12.311916666666667
Angola,22.360666666666663
Anguilla,27.052750000000003
Antigua And Barbuda,26.892083333333336
Argentina,14.7505
Armenia,9.918166666666668
Aruba,28.127999999999997
Asia,8.252583333333336
Australia,21.709666666666664
Austria,8.084916666666668
Azerbaijan,12.632
Bahamas,25.44916666666667
Bahrain,27.07075
Baker Island,25.912166666666668
Bangladesh,25.150166666666667
Barbados,26.902083333333337
Belarus,7.909833333333332
Belgium,11.03425
Belize,25.284999999999997
Benin,27.63766666666666
Bhutan,11.998416666666666
Bolivia,21.077166666666667
"Bonaire, Saint Eustatius And Saba",27.412166666666668
Bosnia And Herzegovina,12.148083333333334
Botswana,21.87233333333334
Brazil,25.1965
British Virgin Islands,26.73058333333334
Bulgaria,11.906833333333333
Burkina Faso,28.591416666666664
Burma,23.930833333333336
Burundi,20.595833333333328
Côte D'Ivoire,26.402333333333342
Cambodia,27.05716666666667
Cameroon,24.613000000000003
Canada,-4.025916666666666
Cape Verde,24.71591666666667
Cayman Islands,27.101833333333335
Central African Republic,25.613333333333333
Chad,27.447833333333335
Chile,9.564083333333333
China,7.238083333333332
Christmas Island,26.375249999999998
Colombia,25.03016666666667
Comoros,25.995499999999996
Congo (Democratic Republic Of The),24.20616666666666
Congo,24.785999999999998
Costa Rica,26.072166666666664
Croatia,13.226416666666665
Cuba,25.784999999999997
Curaçao,27.564083333333333
Cyprus,19.442000000000004
Czech Republic,9.659
Denmark (Europe),9.582916666666666
Denmark,-16.8245
Djibouti,29.86
Dominica,26.5715
Dominican Republic,25.880416666666665
Ecuador,22.026
Egypt,22.881416666666663
El Salvador,25.40716666666667
Equatorial Guinea,25.22058333333334
Eritrea,27.51725
Estonia,7.008750000000002
Ethiopia,23.762583333333335
Europe,9.440083333333334
Falkland Islands (Islas Malvinas),6.401166666666668
Faroe Islands,7.19175
Federated States Of Micronesia,27.442833333333336
Fiji,25.837166666666672
Finland,3.590666666666668
France (Europe),11.738083333333334
France,13.967333333333334
French Guiana,26.112666666666666
French Polynesia,26.635833333333334
French Southern And Antarctic Lands,5.223999999999999
Gabon,24.57241666666667
Gambia,28.063750000000002
Gaza Strip,19.880916666666668
Georgia,9.311166666666667
Germany,10.020416666666664
Ghana,27.245916666666663
Greece,15.673333333333334
Greenland,-17.367916666666666
Grenada,27.190916666666666
Guadeloupe,26.78833333333333
Guam,27.48166666666667
Guatemala,23.428833333333333
Guernsey,11.918999999999999
Guinea Bissau,27.288833333333333
Guinea,25.969166666666666
Guyana,26.393583333333336
Haiti,26.598583333333334
Heard Island And Mcdonald Islands,2.885
Honduras,25.153666666666666
Hong Kong,23.2015
Hungary,11.700333333333333
Iceland,2.10325
India,24.498
Indonesia,26.190250000000006
Iran,18.892083333333336
Iraq,22.988833333333336
Ireland,10.13075
Isle Of Man,10.257583333333335
Israel,20.230416666666667
Italy,14.1255
Jamaica,26.46941666666667
Japan,12.833833333333336
Jersey,11.918999999999999
Jordan,20.045250000000003
Kazakhstan,6.761416666666668
Kenya,24.71666666666667
Kingman Reef,27.453916666666668
Kiribati,27.07925
Kuwait,26.376083333333337
Kyrgyzstan,4.73075
Laos,23.835166666666666
Latvia,7.497083333333333
Lebanon,18.377333333333336
Lesotho,14.053916666666666
Liberia,25.859750000000002
Libya,22.835083333333333
Liechtenstein,6.328749999999999
Lithuania,8.107666666666665
Luxembourg,10.792750000000003
Macau,22.93716666666667
Macedonia,11.581999999999999
Madagascar,23.320333333333334
Malawi,21.71441666666667
Malaysia,26.371416666666665
Mali,29.150333333333332
Malta,19.609166666666663
Martinique,26.5715
Mauritania,28.355583333333332
Mauritius,24.002583333333337
Mayotte,26.609333333333336
Mexico,21.232083333333332
Moldova,10.69
Monaco,10.2295
Mongolia,0.17499999999999982
Montenegro,11.561333333333337
Montserrat,26.841083333333334
Morocco,18.565083333333334
Mozambique,23.92025
Namibia,21.017666666666667
Nepal,15.279333333333334
Netherlands (Europe),10.738750000000001
Netherlands,11.103499999999999
New Caledonia,23.283083333333334
New Zealand,11.115583333333333
Nicaragua,26.381333333333334
Niger,27.975833333333338
Nigeria,27.0335
Niue,25.80575
North America,3.126166666666668
North Korea,7.524999999999998
Northern Mariana Islands,27.48166666666667
Norway,1.7969166666666663
Oceania,21.591916666666663
Oman,27.922416666666674
Pakistan,21.8225
Palau,27.690749999999998
Palestina,23.859999999999996
Palmyra Atoll,27.485749999999992
Panama,26.711833333333335
Papua New Guinea,24.942000000000004
Paraguay,23.626083333333337
Peru,20.231916666666667
Philippines,27.009749999999997
Poland,9.622166666666665
Portugal,15.392999999999999
Puerto Rico,25.786500000000004
Qatar,27.993
Reunion,23.881416666666667
Romania,10.472249999999999
Russia,-4.545666666666667
Rwanda,19.753083333333336
Saint Barthélemy,27.052750000000003
Saint Kitts And Nevis,26.2735
Saint Lucia,27.07841666666667
Saint Martin,27.052750000000003
Saint Pierre And Miquelon,5.865000000000001
Saint Vincent And The Grenadines,27.217916666666667
Samoa,26.838333333333328
San Marino,15.442583333333332
Sao Tome And Principe,26.188999999999993
Saudi Arabia,26.642916666666675
Senegal,28.52608333333333
Serbia,11.791000000000002
Seychelles,27.17925
Sierra Leone,26.54683333333333
Singapore,27.096500000000002
Sint Maarten,27.052750000000003
Slovakia,9.481999999999998
Slovenia,11.590583333333335
Solomon Islands,27.264750000000003
Somalia,27.710250000000002
South Africa,17.585583333333336
South America,22.164666666666665
South Georgia And The South Sandwich Isla,2.028583333333333
South Korea,12.575333333333333
Spain,14.46875
Sri Lanka,27.469750000000005
Sudan,27.45658333333333
Suriname,26.58608333333333
Svalbard And Jan Mayen,-5.745666666666668
Swaziland,19.023500000000002
Sweden,4.421000000000001
Switzerland,8.562666666666667
Syria,18.773333333333337
Taiwan,22.704499999999996
Tajikistan,5.3925833333333335
Tanzania,22.79158333333333
Thailand,26.302166666666665
Timor Leste,26.087
Togo,27.44241666666667
Tonga,24.028666666666666
Trinidad And Tobago,26.62708333333333
Tunisia,21.140500000000003
Turkey,12.201916666666664
Turkmenistan,16.398166666666665
Turks And Caicas Islands,26.95691666666667
Uganda,23.560916666666667
Ukraine,9.316333333333336
United Arab Emirates,28.877750000000002
United Kingdom (Europe),9.5655
United Kingdom,9.379666666666667
United States,9.64975
Uruguay,17.75675
Uzbekistan,13.938833333333335
Venezuela,25.388500000000004
Vietnam,23.981916666666663
Virgin Islands,26.73058333333334
Western Sahara,23.020083333333332
Yemen,27.43616666666667
Zambia,21.558750000000003
Zimbabwe,21.149000000000004
